Network,Contract,Method,Min Gas,Max Gas,Avg Gas,L2 Avg (Exec),L1 Avg (Bytes/Data),Calls,USD Avg,Block %,L1 Gas Price,L1 Blob Base Fee,L2 Gas Price,Token Price,Currency
Scroll,SimpleStaking,exit,-,-,153355,,,1,0.00142620,,,0,0.0025,3720,ETH
Scroll,SimpleStaking,getReward,67287,120587,77424,,,46,0.00072004,,,0,0.0025,3720,ETH
Scroll,SimpleStaking,stake,126368,143468,133372,,,48,0.00124036,,,0,0.0025,3720,ETH
Scroll,SimpleStaking,withdraw,72768,81168,80985,,,46,0.00075316,,,0,0.0025,3720,ETH
Scroll,SimpleStaking,deployment,-,-,772065,,,,,0.00718020,2.6,0,0.0025,3720,ETH
ZkSync,AdvancedToken,blacklist,47341,47353,47352,,,47,0.00796195,,,0,0.0452,3720,ETH
ZkSync,AdvancedToken,pause,-,-,27743,,,47,0.00466482,,,0,0.0452,3720,ETH
ZkSync,AdvancedToken,unblacklist,25415,25427,25426,,,46,0.00427523,,,0,0.0452,3720,ETH
ZkSync,AdvancedToken,unpause,-,-,27721,,,46,0.00466112,,,0,0.0452,3720,ETH
ZkSync,AdvancedToken,deployment,-,-,973081,,,,,0.16361773,3.2,0,0.0452,3720,ETH
ZkSync,BasicToken,approve,26506,46406,34786,,,46,0.00584906,,,0,0.0452,3720,ETH
ZkSync,BasicToken,burn,33808,33832,33809,,,46,0.00568478,,,0,0.0452,3720,ETH
ZkSync,BasicToken,mint,36693,53817,40750,,,93,0.00685187,,,0,0.0452,3720,ETH
ZkSync,BasicToken,transfer,34486,51610,35230,,,46,0.00592371,,,0,0.0452,3720,ETH
ZkSync,BasicToken,deployment,-,-,768883,,,,,0.12928306,2.6,0,0.0452,3720,ETH
ZkSync,MultiSigWallet,confirmTransaction,57501,74613,63417,,,139,0.01066319,,,0,0.0452,3720,ETH
ZkSync,MultiSigWallet,executeTransaction,70275,70287,70286,,,46,0.01181817,,,0,0.0452,3720,ETH
